test_case	id	source	language	text	task1	task2
EXIST2021	003786	twitter	es	@aliveforagus hay pruebas gorda no flashees	sexist	misogyny-non-sexual-violence
EXIST2021	003787	twitter	es	@Lucxs_0 Lesbiana si reprimida jamás, eso si jamaaas	non-sexist	non-sexist
EXIST2021	003788	twitter	es	¡Espectacular!  Jennifer López en la actualidad es considerada como una de las actrices más importantes de #Hollywood, esto obviamente se debe al increíble talento que desprende en cada uno de sus proyectos artísticos. #California  @Miami_Diariohttps://t.co/2Os3QtA0AC	non-sexist	non-sexist
EXIST2021	003789	twitter	es	Conozco una mirada de lujuria cuando la veo. Sabe que lo atrapé mirándome por la ventana de su cocina. Y está avergonzado por eso. Él odia quererme. Y odia que lo sepa.No es que me importe. Es sexy como el infierno, de una manera tensa, reprimida.	non-sexist	non-sexist
EXIST2021	003790	twitter	es	◆ Inferior por ser mujer◆ Adicción a esnifar smegma◆ 100% sumisa◆ Amor por las futas◆ Descerebrada del sexo◆  &amp;  https://t.co/dy8erBNL7y	sexist	stereotyping-dominance
EXIST2021	003791	twitter	es	@mambe12xd Todas las mujeres de todos los países deberían tener ese derecho y no importa si no se cuidaron, deben de decidir por su cuerpo si tener al hijo o no, porque a muchos de los padres de las mujeres que abortan tampoco les gusta mucho la idea de tener un hije. Más aparte el aborto+	non-sexist	non-sexist
EXIST2021	003792	twitter	es	@JorLopezP Es que el feminismo es una ideología carente de sentido y racionalidad que se fundamenta en falsos dogmas. El feminismo actual es ridículo y a quien más le va a hacer daño es a las propias mujeres. Y por esas razones es un tan fácil y divertido reírse el de el. Un ejemplo https://t.co/AzUnoTunXz	sexist	ideological-inequality
EXIST2021	003793	twitter	es	hoy una profesora mia me ha dicho que mientras que vaya a este instituto me va a suspender porque soy una niñata que tendria que haberme quedado en 3°de la ESO,luego pretenden que nos guste el curso y nos sintamos realizados	non-sexist	non-sexist
EXIST2021	003794	twitter	es	@JuliaLuz98 @YoFermina Mansplaining sería decir algo, cualquier cosa sea, para el feminismo falopa, no? Una forma de ocultar la falta de argumentos y la misandria de ese sector del feminismo falopa, dominante en las redes	sexist	ideological-inequality
EXIST2021	003795	twitter	es	"@psenseve Ah sí, no es algo que me sorprenda. Es el manspreading del mundo literario. Nunca ""encuentran"" a las mujeres...pasa lo mismo con las artistas plásticas...¿hay en Bolivia? No las conozco, solo conozco a mis amiguitos"	sexist	ideological-inequality
EXIST2021	003796	twitter	es	"@MaraEugeniaNav5 @Alicia_PC @KelpieOz @clmarreromFP @rluis60 @RCamachoVzla @AlvaroMunoz muchas de las mujeres que difieren con lo que planteas, son potenciales victimas de violencia, a veces no logro entender como se pretende luchar contra la violencia de genero cuando como mujeres son incapaces de decir ""NO"", o cuando siguen viendo al depredador como un amigo"	non-sexist	non-sexist
EXIST2021	003797	twitter	es	@dazzacamilo @FolieSoul @mariangelauc Tu eres mujer para decir que representa a la mayoría de las mujeres? #Mansplaining	non-sexist	non-sexist
EXIST2021	003798	twitter	es	aquí en el bus con un notas haciendo manspreading a mi lao porque si	non-sexist	non-sexist
EXIST2021	003799	twitter	es	@amairanirussell Jahajajajaja, así yo con los tés, pero ya casi, cuando menos pienses vas estar a tres días De tenerlo en tus brazos	non-sexist	non-sexist
EXIST2021	003800	twitter	es	@alexandertamu we're not moots pero pienso en lagartona que es una mujer que se le ofrece a hombres casados/con pareja	sexist	misogyny-non-sexual-violence
